id,name,domain,distance,authentication_provider
132505,All Saints University School of Medicine,allsaintsuniversity.instructure.com,,
139654,All Skills College,allskills.instructure.com,,canvas
139929,All prints,allprints.instructure.com,,
127720,Allan Hancock College,hancockcollege.instructure.com,,
134594,Alleghany County Public Schools - VA,alleghanyk12.instructure.com,,
127412,Alleghany County Schools,alleghany.instructure.com,,
127413,Alleghany County Schools NC,alleghany.instructure.com,,
137061,Alleghany Highlands Public Schools - VA,ahps.instructure.com,,
133303,Allegheny College,allegheny.instructure.com,,saml
126435,Allegheny Intermediate Unit 3,aiu3.instructure.com,,
135051,Allen Community College,allencc.instructure.com,,canvas
138246,Allen Elementary School - MCSD Parents,mcsd.instructure.com,,4
129612,Allen Elementary School - MCSD Teachers/Students,mcsd.instructure.com,,209
136444,Allen ISD - Parents,allenisd.instructure.com,,canvas
126436,Allen ISD - Teachers/Students,allenisd.instructure.com,,saml
127249,Allen-Stevenson School,a-s.instructure.com,,
129915,Allendale Columbia School,ac.instructure.com,,saml
127300,Alliant International University,arist.instructure.com,,
132879,Allied Health Career Training,allied.instructure.com,,canvas
134092,Alma College,almacollege.instructure.com,,saml
140356,Alpes CFT,alpescft.instructure.com,,
137312,Alphabet Education,alphabet.instructure.com,,
131521,Alpine Institute,alpineinstitute.instructure.com,,canvas
129240,Alpine School District Faculty,alpine.instructure.com,,37
129241,Alpine School District Parent,alpine.instructure.com,,canvas
129239,Alpine School District Student,alpine.instructure.com,,36
134762,Alternative Education - Parents,alted.instructure.com,,92
134175,Alternative Education - Staff/Students,alted.instructure.com,,110
127835,Altierus,zenith.instructure.com,,
140480,Altus Schools Audeo,altus.instructure.com,,canvas
140485,Altus Schools Audeo II,altus.instructure.com,,canvas
140488,Altus Schools CSSD,altus.instructure.com,,canvas
140489,Altus Schools Charter School of San Diego,altus.instructure.com,,canvas
140490,Altus Schools East County,altus.instructure.com,,canvas
140491,Altus Schools Mirus,altus.instructure.com,,canvas
140486,Altus Schools North County,altus.instructure.com,,canvas
140492,Altus Schools South Bay,altus.instructure.com,,canvas
140481,Altus Schools Staff,altus.instructure.com,,saml
139681,Alvernia University,alvernia.instructure.com,,205
136514,Amador County Unified School District,amadorcte.instructure.com,,
135240,Amarillo ISD - Parents,amaisd.instructure.com,,canvas
133076,Amarillo ISD - Teachers and Students,amaisd.instructure.com,,saml
137771,Amazon Technical Academy,ata.instructure.com,,
131009,Ambassador High School,ambassador.instructure.com,,
131151,Ambassador High School,ambassador.instructure.com,,
130881,Ambition Institute,ambition.instructure.com,,saml
128051,Ambria College of Nursing,ambria.instructure.com,,
134527,Amelia County Public Schools - VA,ameliaschools.instructure.com,,
137224,America's Little Leaders,alljra.instructure.com,,5
135008,American Academy of Art College,aaart.instructure.com,,
139934,American Academy of Dramatic Arts,aada.instructure.com,,203
132676,American Academy of Innovation UT - Parent,aaiutah.instructure.com,,canvas
132677,American Academy of Innovation UT - Students/Teachers,aaiutah.instructure.com,,LDAP
132803,American Baptist College,abcnash.instructure.com,,canvas
136074,American Career College,canvas.americancareercollege.edu,,
130408,American Certification Institute,aci.instructure.com,,canvas
126437,American College of Education,ace.instructure.com,,
127781,American College of Healthcare Sciences,achs.instructure.com,,
140014,American Film Institute,afi.instructure.com,,saml
128197,American Fire Sprinkler Association,afsa.instructure.com,,
126438,American Heritage School,american-heritage.instructure.com,,
140896,American Heritage School - Salt Lake City - Parents,ahsslc.instructure.com,,
126439,American Institute,ai.instructure.com,,
135368,American Institute for Foreign Study (UK),aifs.instructure.com,,canvas
136839,American International College,aic.instructure.com,,saml
137616,American International School of Guangzhou - AISG,aisgz.instructure.com,,saml
137735,American International School of Guangzhou - AISG (Parent),aisgz.instructure.com,,canvas
135420,American International University Kuwait,aiuk.instructure.com,,
135318,American Language Center Agadir,alc-ag.instructure.com,,canvas
135317,American Language Center El Jadida,alc-ej.instructure.com,,canvas
135316,American Language Center Kenitra,alc-kn.instructure.com,,canvas
135314,American Language Center Marrakesh,alc-marr.instructure.com,,canvas
135339,American Language Center Rabat,alc-rb.instructure.com,,canvas
135315,American Language Center Tetouan,alc-tt.instructure.com,,canvas
132958,American Leadership Academy - Parents,americanleadership.instructure.com,,canvas
128782,American Leadership Academy - Students/Teachers,americanleadership.instructure.com,,saml
135194,American Leadership Academy Inc. (Parents/Guardians),alaschools.instructure.com,,canvas
135193,American Leadership Academy Inc. (Students/Teachers),alaschools.instructure.com,,saml
132880,American Medical Academy,ama.instructure.com,,canvas
130714,American Montessori Society,amshq.instructure.com,,canvas
128982,American National University,anu.instructure.com,,
127565,American Renaissance School,ars.instructure.com,,
130193,American Renaissance School - Parent,ars.instructure.com,,saml
127517,American River College,lrccd.instructure.com,,
140167,American Tamil Academy ,americantamilacademy.instructure.com,,canvas
129026,American Thoracic Society,ats-global-health.instructure.com,,canvas
130463,American University,american.instructure.com,,saml
136630,American University Kyiv,auk.instructure.com,,
131626,American University School Education (AU SOE),soeonline-american.instructure.com,,
129527,American University of Afghanistan (AUAF),auaf.instructure.com,,google
132576,American University of Health Sciences (AUHS),auhs.instructure.com,,
140229,American University of Nigeria,virtualcampus.instructure.com,,
140778,American University of Phnom Penh (AUPP) - Google,aupp.instructure.com,,google
140777,American University of Phnom Penh (AUPP) - SAML,aupp.instructure.com,,saml
139788,American University of Sharjah,aus.instructure.com,,
140684,Ameritas College,ameritas.instructure.com,,
135397,Amherst County Public Schools - VA - Parents,amherst.instructure.com,,1
134528,Amherst County Public Schools - VA - Teachers & Students,amherst.instructure.com,,102
140791,Amilak,amilak.instructure.com,,
128327,Amridge University,amridgeuniversity.instructure.com,,
140079,Amsterdam UMC Kaderopleiding Palliatieve Zorg,kaderopleidingpz.instructure.com,,
139599,Amtech Institute,amtech.instructure.com,,
136061,Ana G Mendez University,agmu.instructure.com,,saml
140423,Anahuac Mayab,anahuacmerida.instructure.com,,
136070,Analytics Institute of Australia,analyticsinstitute.instructure.com,,canvas
140119,Anand Rathi,anandrathi.instructure.com,,
131430,Anchieta,anchieta.instructure.com,,canvas
131446,Anchieta,anchieta.instructure.com,,canvas
129869,Anchorage School District- Parents,asdk12.instructure.com,,canvas
129868,Anchorage School District- Teachers/Students,asdk12.instructure.com,,saml
127304,Ancillae Assumpta Academy,ancillae.instructure.com,,
135841,Ancora Corporate Training,ancoraeducation.instructure.com,,16
131686,Anderson Community Schools,acsc.instructure.com,,
131693,Anderson Community Schools- Parent,acsc.instructure.com,,
127181,Anderson University,anderson.instructure.com,,
127254,Anderson University in SC,au.instructure.com,,
136395,Andrew College (Online Programs),virtualcampus.instructure.com,,
133707,Andrews Creek Primary School (Tas) - Parents/Carers,canvas.education.tas.gov.au,,openid_connect
133487,Andrews Creek Primary School (Tas) - Students/Teachers,canvas.education.tas.gov.au,,saml
140392,Angel Institute of Education,angelinstitute.instructure.com,,
137633,Angeles Institute,angeles.instructure.com,,1
129129,Angeles University Foundation,auf.instructure.com,,canvas
137787,Anglicare College,anglicare.instructure.com,,
132746,Anguilla Community College,anguilla.instructure.com,,Canvas
127725,Anheuser-Busch,abiulearningcenter.instructure.com,,
138049,Animum 3D,animum.instructure.com,,
135348,Ankeny Community School District (Parents/Guardians),ankenyschools.instructure.com,,canvas
135347,Ankeny Community School District (Students/Teachers),ankenyschools.instructure.com,,saml
130813,Annandale Christian College (ACC),acc-qld.instructure.com,,saml
130814,Annandale Christian College (ACC) - Parents Login,acc-qld.instructure.com,,canvas
127170,Anne Arundel Community College,aacc.instructure.com,,
140885,"Anne Arundel County Public Schools (AACPS) - Staff	",aacps.instructure.com,,saml
140886,"Anne Arundel County Public Schools (AACPS) - Students	",aacps.instructure.com,,saml
133937,Annoor Academy of Chattanooga,annoor.instructure.com,,
129399,Ansgar Teologiske Høgskole,ansgar.instructure.com,,saml
139713,Ansi Systems,ansisystems.instructure.com,,
135329,Anson County Schools - Parents,anson.instructure.com,,canvas
127931,Anson County Schools - Students/Teachers,anson.instructure.com,,saml
127633,Antelope Valley College,avc.instructure.com,,
128007,Antelope Valley Union High School District,avhsd.instructure.com,,
134485,Antigo Unified School District,antigoschools.instructure.com,,
126442,Antioch College,antioch.instructure.com,,
132748,Anáhuac Mexico,anahuacmexico.instructure.com,,Canvas
